time,HS,d,f,lw_in,lw_out,rh,sw_in,sw_out,t,max_glob,max_diff,max_direct,max_up,Diff_ratio,Glob_sum_ratio,f_QC1,HS_QC1,lw_out_QC1,d_QC1,sw_in_QC1,lw_in_QC1,t_QC1,sw_out_QC1,rh_QC1
1996-05-03 12:00:00,0.00067837,306.0568600000001,2.2274,301.54824,308.9047700000001,94.206667,527.29021,452.51629,-1.3700333,1286.4471598697837,801.4165345841963,864.3109401341137,999.1577278958268,0.6229688708437251,17.204490012958853,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 13:00:00,0.00132162,289.3833,0.74853333,311.35338,312.77035,85.495333,507.23518,454.85731,0.2995,1189.289450419258,739.8833185988634,804.9132760824783,921.4315603354063,0.6221221573419605,22.705952922851907,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 14:00:00,0.00132162,317.4143200000001,1.9870667,305.43336,304.63815,91.306667,454.77743,431.19349000000005,-0.88146667,1042.3841179475303,646.8432747001026,713.3778838813735,803.9072943580243,0.620542143306775,44.198896280584734,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 15:00:00,0.00389409,291.83881,1.4749333,309.7323,307.76478,93.876667,416.30679,389.77747,-1.1618667,859.5066876963019,531.0209022076579,595.9905100933095,657.6053501570415,0.6178205589428628,32.3983685860136,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 16:00:00,0.00045963,261.67899,1.0475667,305.6796,305.28427,91.703333,365.98166,344.80475,-0.7989,657.8160770070058,403.2835154377703,460.82800652102117,496.25286160560455,0.6130642432344737,31.06289241475772,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 17:00:00,-0.00088072,269.28037,2.5580333,300.82662,299.0458700000001,94.413333,258.11382000000003,255.87699,-1.3548667,456.4034742466758,275.722200356228,317.2594863249588,335.1227793973406,0.6041194160743972,204.040304469571,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 18:00:00,-0.00727594,304.65332,3.8461,300.09816,297.23377,98.12,190.21015,185.42737,-2.0609667000000003,275.1754159644231,160.9444301108013,175.5324065910164,190.14033277153848,0.5848793924658208,57.534617098094195,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 19:00:00,-0.01263562,303.02141,3.1725,293.60358,294.41535,98.606667,119.2569,111.84828,-2.4706333,136.68368518238265,73.233000615509,47.70059621595279,79.3469481459061,0.5357845050621163,18.449277352918987,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 20:00:00,-0.01387197,297.9216,2.1978333,294.4893600000001,294.05887,98.816667,57.320073,51.234445,-2.5051333,100.0,50.0,0.0,50.0,0.5,16.43215786439789,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 21:00:00,-0.01552229,283.55373,2.6218,287.00298,289.43948,99.26,23.883682,21.718059,-2.9909,100.0,50.0,0.0,50.0,0.5,46.17608882063037,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 22:00:00,-0.01598771,280.50293,1.8367667,286.26768,287.6905,98.866667,2.9632396,2.7089221,-3.1919333,100.0,50.0,0.0,50.0,0.5,393.2092758068163,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-03 23:00:00,-0.01628151,280.07709,1.2492,270.24498,275.87467000000004,97.86,0.23754127,0.227156,-4.8635667,100.0,50.0,0.0,50.0,0.5,9629.022644572551,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 00:00:00,-0.01628151,231.42447,1.2842667,281.7567,280.01875,97.876667,0.55771313,0.4096102,-5.3836667,100.0,50.0,0.0,50.0,0.5,675.206088090222,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 01:00:00,-0.01632292,227.9649,1.3142,285.99408,282.80004,98.143333,0.53385133,0.38922173,-4.8191,100.0,50.0,0.0,50.0,0.5,691.4213964499661,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 02:00:00,-0.01628151,266.44672,1.3732,286.94826,282.91144,98.09,0.46174493,0.389187,-4.7646667,100.0,50.0,0.0,50.0,0.5,1378.209108225662,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 03:00:00,-0.01632292,350.13914,1.7233,288.11106,283.3644700000001,98.176667,0.7884814,0.36153927,-4.6750667,166.4257614243727,92.06964890210271,78.23010621706077,103.14060913949817,0.5532175314333236,389.8087111346278,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 04:00:00,-0.016219499999999998,352.53543,2.3545,287.76906,282.6775,98.05,2.3790944,1.9384326,-4.8079667,318.79262790111545,188.56866433737312,211.24545444428844,225.03410232089237,0.5915088613525411,723.4405793765546,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 05:00:00,-0.01810474,353.64726,2.5885667000000003,286.79778,281.32956,97.806667,15.408262,14.950512,-5.1336333,507.5459023985049,308.1124048523864,354.7376172689529,376.03672191880395,0.6070631314258327,1108.7840576701344,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 06:00:00,-0.0206253,348.3893700000001,2.3593333,287.2287,280.92109,97.51,49.050413,49.436995,-5.3526667,711.5531690334437,437.3170070545143,497.49492287745005,539.242535226755,0.6145949819161861,-1840.6267468051694,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 07:00:00,-0.02162219,349.3574,2.3144667,290.0502,282.77776,97.273333,120.6636,123.75834,-5.2912667,911.0955108165336,563.693823517138,629.4870501823889,698.8764086532269,0.6186989364177082,-294.40131022849516,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 08:00:00,-0.024531999999999998,351.42007,2.3520333,292.65282,284.05143,97.056667,205.49629,213.79756,-5.1333332999999985,1087.4420841753063,675.3799866443607,741.6286452596669,839.953667340245,0.6210721439538134,-130.9970744446698,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 09:00:00,-0.024531999999999998,352.2541,2.8121333,295.06734,286.95897,96.73,325.08316,339.9559700000001,-4.9698,1224.1429611002347,761.9572086968153,826.2499064948814,949.3143688801879,0.6224413593098503,-82.30744298489854,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 10:00:00,-0.02538067,3.9784796,2.7556,293.5078200000001,288.2809200000001,96.466667,388.7702,401.84383,-4.8982333,1308.4616062242187,815.3590172753385,877.5816150204298,1016.769284979375,0.6231432495968996,-100.08403222549629,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 11:00:00,-0.02538067,8.2911634,2.2441,291.8286,291.7566,95.83,513.7824099999998,517.56487,-4.5315,1332.5514702032697,830.6159311287374,892.1359128000372,1036.0411761626158,0.6233274659192217,-352.29757094673425,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 12:00:00,-0.02683757,346.06313,2.5409,288.91134,290.07075,95.356667,478.88236,497.99264000000005,-4.2926332999999985,1294.194988837154,806.3234929301974,868.9394322136845,1005.3559910697231,0.6230309187448535,-67.72245036897161,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 13:00:00,-0.03114175,336.12595,2.1416333,285.39558,290.04847,94.02,481.55335,506.93647,-4.1422667,1197.0120289127176,744.7742849780544,809.5983733104587,927.6096231301741,0.6221944867626398,-47.157797343774895,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 14:00:00,-0.03357163,5.5225063,2.0968,284.39694,288.31063,93.06,474.66573,502.5566,-4.4344667,1050.112960884941,651.7382085604627,718.1902488318622,810.0903687079528,0.6206362866060011,-37.65077822545302,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 15:00:00,-0.03525058,12.546991,2.8343667000000003,284.02758,285.77813,93.85,422.22535,457.27823,-4.6413332999999986,867.2369147774965,535.9167126924144,600.9911046887412,663.7895318219972,0.6179588340400759,-24.74081772389305,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
